name,prompt,fps,frame_num,size,raw_frame_bytes,raw_frame_mb,latent_pt_bytes,latent_pt_mb,latent_raw_bytes,latent_raw_mb,mp4_bytes,mp4_mb,latent_shape,intra_latent_bytes,intra_latent_mb,intra_vs_pt_ratio,intra_vs_raw_ratio,intra_latent_mse,intra_latent_mae,intra_latent_max_abs,intra_raw_frame_mse,intra_raw_psnr_db,intra_mp4_psnr_db,intra_mp4_ssim,inter_latent_bytes,inter_latent_mb,inter_vs_pt_ratio,inter_vs_raw_ratio,inter_latent_mse,inter_latent_mae,inter_latent_max_abs,inter_raw_frame_mse,inter_raw_psnr_db,inter_mp4_psnr_db,inter_mp4_ssim
018_dynamic_degree_r02_p069_a_giraffe_bending_down_to_drink_water_from_a_river,a giraffe bending down to drink water from a river,24,121,1280*704,327106560,327.1066,20953754,20.9538,20951040,20.951,20511469,20.5115,"[48, 31, 44, 80]",4667778,4.6678,4.489,4.4884,7.928e-05,0.00751688,0.02231914,1.32215345,46.917985,44.765369,0.992479,4271168,4.2712,4.9059,4.9052,0.00114274,0.02405726,0.35928935,7.8586607,39.177318,40.963073,0.987558
019_dynamic_degree_r03_p071_a_giraffe_running_to_join_a_herd_of_its_kind,a giraffe running to join a herd of its kind,24,121,1280*704,327106560,327.1066,20953712,20.9537,20951040,20.951,15206538,15.2065,"[48, 31, 44, 80]",4447499,4.4475,4.7113,4.7107,0.000104,0.00865349,0.02533007,0.60307765,50.327071,46.669001,0.991362,3926309,3.9263,5.3367,5.3361,0.00163568,0.02968769,0.38226557,5.02741432,41.117357,43.068389,0.985962
020_aesthetic_quality_r00_p028_origami_dancers_in_white_paper_3d_render_on_white_background_studio_shot_dancing,"Origami dancers in white paper, 3D render, on white background, studio shot, dancing modern dance.",24,121,1280*704,327106560,327.1066,20954177,20.9542,20951040,20.951,7450477,7.4505,"[48, 31, 44, 80]",4346106,4.3461,4.8214,4.8206,0.00010913,0.008791,0.0287028,0.38133666,52.317718,49.331254,0.995434,3912798,3.9128,5.3553,5.3545,0.00172617,0.02998482,0.44137415,2.82092786,43.626884,45.347437,0.994359
021_aesthetic_quality_r01_p053_a_jellyfish_floating_through_the_ocean_with_bioluminescent_tentacles,"A jellyfish floating through the ocean, with bioluminescent tentacles",24,121,1280*704,327106560,327.1066,20954029,20.954,20951040,20.951,9636924,9.6369,"[48, 31, 44, 80]",4580762,4.5808,4.5744,4.5737,7.525e-05,0.00739111,0.01970309,0.10588529,57.882447,52.164032,0.99589,4156286,4.1563,5.0415,5.0408,0.00108554,0.02406751,0.30855513,0.62799871,50.151216,50.166786,0.994948
022_aesthetic_quality_r02_p057_a_steam_train_moving_on_a_mountainside,A steam train moving on a mountainside,24,121,1280*704,327106560,327.1066,20953627,20.9536,20951040,20.951,19301682,19.3017,"[48, 31, 44, 80]",4438881,4.4389,4.7205,4.7199,0.00010336,0.00867656,0.02333081,2.25984216,44.590023,43.93375,0.991734,4072272,4.0723,5.1454,5.1448,0.00149557,0.02834064,0.33988661,16.00635719,36.087879,38.455146,0.985438
023_aesthetic_quality_r03_p075_a_happy_fuzzy_panda_playing_guitar_nearby_a_campfire_snow_mountain_in_the_backgr,"A happy fuzzy panda playing guitar nearby a campfire, snow mountain in the background",24,121,1280*704,327106560,327.1066,20954113,20.9541,20951040,20.951,10185202,10.1852,"[48, 31, 44, 80]",4566006,4.566,4.5892,4.5885,0.00011919,0.00923408,0.02703369,1.29187,47.018615,46.400532,0.994224,3695759,3.6958,5.6698,5.6689,0.00174912,0.03047876,0.40397799,5.59128332,40.655689,42.638746,0.99161
024_imaging_quality_r00_p000_close_up_of_grapes_on_a_rotating_table,Close up of grapes on a rotating table.,24,121,1280*704,327106560,327.1066,20953613,20.9536,20951040,20.951,8274470,8.2745,"[48, 31, 44, 80]",4622076,4.6221,4.5334,4.5328,0.00010802,0.00875692,0.02727389,0.2495455,54.159306,49.291016,0.993456,4132400,4.1324,5.0706,5.0699,0.00205873,0.03325092,0.41930255,2.13715196,44.83245,46.289878,0.991552
025_imaging_quality_r01_p020_a_shark_is_swimming_in_the_ocean,a shark is swimming in the ocean.,24,121,1280*704,327106560,327.1066,20953443,20.9534,20951040,20.951,8310618,8.3106,"[48, 31, 44, 80]",4295472,4.2955,4.878,4.8775,9.884e-05,0.00837601,0.02582359,0.1287248,57.034181,52.239405,0.99551,3845198,3.8452,5.4492,5.4486,0.00172769,0.03079179,0.33753619,0.8300665,48.939675,49.769023,0.994197
026_imaging_quality_r02_p035_busy_freeway_at_night,Busy freeway at night.,24,121,1280*704,327106560,327.1066,20953174,20.9532,20951040,20.951,5297729,5.2977,"[48, 31, 44, 80]",4380444,4.3804,4.7833,4.7829,0.0001251,0.00951353,0.02639616,0.19216684,55.294019,50.719202,0.996381,3950011,3.95,5.3046,5.304,0.00114759,0.02473033,0.27869987,0.89350486,48.619834,48.878025,0.996002
027_imaging_quality_r03_p089_hyper_realistic_spaceship_landing_on_mars,Hyper-realistic spaceship landing on Mars,24,121,1280*704,327106560,327.1066,20953634,20.9536,20951040,20.951,14664476,14.6645,"[48, 31, 44, 80]",4637021,4.637,4.5188,4.5182,6.934e-05,0.00705322,0.02150285,0.51535183,51.009765,47.13031,0.990472,4083966,4.084,5.1307,5.1301,0.00096152,0.02257684,0.24517155,2.5648098,44.040252,44.694113,0.98664
028_object_class_r00_p019_a_cow,a cow,24,121,1280*704,327106560,327.1066,20953041,20.953,20951040,20.951,17149933,17.1499,"[48, 31, 44, 80]",4502508,4.5025,4.6536,4.6532,0.00010404,0.00860858,0.02972424,1.61692381,46.043908,45.074881,0.992899,3940429,3.9404,5.3175,5.3169,0.00173924,0.03053899,0.37804645,11.11420345,37.67202,40.016165,0.98548
029_object_class_r01_p035_a_baseball_glove,a baseball glove,24,121,1280*704,327106560,327.1066,20953118,20.9531,20951040,20.951,8781088,8.7811,"[48, 31, 44, 80]",4618855,4.6189,4.5364,4.536,0.00011376,0.00901341,0.02606976,0.59806222,50.36334,46.863997,0.994449,3891645,3.8916,5.3841,5.3836,0.00200198,0.03291089,0.4441213,4.58051968,41.521656,43.299268,0.992321
030_object_class_r02_p043_a_knife,a knife,24,121,1280*704,327106560,327.1066,20953055,20.9531,20951040,20.951,11561307,11.5613,"[48, 31, 44, 80]",4676826,4.6768,4.4802,4.4798,8.228e-05,0.00761937,0.02388227,0.51872635,50.981421,46.747931,0.994227,3916338,3.9163,5.3502,5.3497,0.00136116,0.02681568,0.30959153,3.6245265,42.538291,43.643022,0.992144
031_object_class_r03_p054_a_donut,a donut,24,121,1280*704,327106560,327.1066,20953055,20.9531,20951040,20.951,15980100,15.9801,"[48, 31, 44, 80]",4665990,4.666,4.4906,4.4902,7.81e-05,0.00752681,0.02047816,0.76714003,49.282057,46.12901,0.993674,4086350,4.0864,5.1276,5.1271,0.00136572,0.02709918,0.33573398,6.14165831,40.247947,41.876891,0.989045
032_multiple_objects_r00_p011_a_couch_and_a_potted_plant,a couch and a potted plant,24,121,1280*704,327106560,327.1066,20953344,20.9533,20951040,20.951,7438851,7.4389,"[48, 31, 44, 80]",4746153,4.7462,4.4148,4.4143,8.764e-05,0.00791647,0.02366185,0.70737296,49.634319,48.024687,0.993926,3643135,3.6431,5.7515,5.7508,0.00042999,0.01530791,0.17825663,1.53931081,46.25754,46.613512,0.992887
033_multiple_objects_r01_p013_a_tv_and_a_laptop,a tv and a laptop,24,121,1280*704,327106560,327.1066,20953153,20.9532,20951040,20.951,9458950,9.4589,"[48, 31, 44, 80]",4579469,4.5795,4.5755,4.575,9.181e-05,0.00813391,0.02579606,2.17509604,44.756019,45.66339,0.993852,3489339,3.4893,6.0049,6.0043,0.00120925,0.02571788,0.28210533,5.34467173,40.851593,43.007611,0.991691
034_multiple_objects_r02_p027_a_teddy_bear_and_a_frisbee,a teddy bear and a frisbee,24,121,1280*704,327106560,327.1066,20953344,20.9533,20951040,20.951,13284992,13.285,"[48, 31, 44, 80]",4494848,4.4948,4.6616,4.6611,0.00012191,0.00935536,0.02844441,1.81451309,45.543203,45.185281,0.993921,3701399,3.7014,5.6609,5.6603,0.00229487,0.03545649,0.40606612,10.65371227,37.855794,40.095899,0.987664
035_multiple_objects_r03_p043_a_car_and_a_motorcycle,a car and a motorcycle,24,121,1280*704,327106560,327.1066,20953188,20.9532,20951040,20.951,15037690,15.0377,"[48, 31, 44, 80]",4543633,4.5436,4.6115,4.6111,9.644e-05,0.00836799,0.0219625,0.84060806,48.884868,46.282292,0.993291,4014657,4.0147,5.2192,5.2186,0.0012201,0.02532271,0.29076242,4.69495058,41.414493,42.795269,0.988827
036_human_action_r00_p012_a_person_is_skateboarding,A person is skateboarding,24,121,1280*704,327106560,327.1066,20953181,20.9532,20951040,20.951,11040251,11.0403,"[48, 31, 44, 80]",4539306,4.5393,4.6159,4.6155,0.00012508,0.00942417,0.03068084,0.29464692,53.437785,48.772208,0.992562,4157095,4.1571,5.0403,5.0398,0.00273667,0.03815823,0.50484633,2.8522892,43.578868,45.243384,0.989297
037_human_action_r01_p044_a_person_is_planting_trees,A person is planting trees,24,121,1280*704,327106560,327.1066,20953188,20.9532,20951040,20.951,20566654,20.5667,"[48, 31, 44, 80]",4700010,4.7,4.4581,4.4577,9.741e-05,0.00833431,0.02287221,1.57091165,46.169286,44.215321,0.993415,4107620,4.1076,5.1011,5.1005,0.00158764,0.02944197,0.31386334,12.00742912,37.336303,39.319188,0.988411
038_human_action_r02_p045_a_person_is_sharpening_knives,A person is sharpening knives,24,121,1280*704,327106560,327.1066,20953337,20.9533,20951040,20.951,7488126,7.4881,"[48, 31, 44, 80]",4589475,4.5895,4.5655,4.565,9.857e-05,0.00836585,0.02729225,0.21541873,54.797969,49.549754,0.993469,4067623,4.0676,5.1512,5.1507,0.00223193,0.03471573,0.41542482,1.95994711,45.20836,46.40958,0.99137
039_human_action_r03_p048_a_person_is_hula_hooping,A person is hula hooping,24,121,1280*704,327106560,327.1066,20953174,20.9532,20951040,20.951,15924288,15.9243,"[48, 31, 44, 80]",4615998,4.616,4.5393,4.5388,0.00010634,0.00866256,0.03114557,0.51236522,51.035007,46.307038,0.991952,4168274,4.1683,5.0268,5.0263,0.00219514,0.0347556,0.3714667,5.48041916,40.742666,42.324327,0.987124
040_color_r00_p005_a_purple_bicycle,a purple bicycle,24,121,1280*704,327106560,327.1066,20953069,20.9531,20951040,20.951,15815144,15.8151,"[48, 31, 44, 80]",4661047,4.661,4.4954,4.4949,8.589e-05,0.00786725,0.02366376,0.97570103,48.237636,45.843418,0.994193,4051392,4.0514,5.1718,5.1713,0.00146325,0.02810693,0.33756411,7.62236547,39.309906,41.283904,0.990149
041_color_r01_p033_a_blue_umbrella,a blue umbrella,24,121,1280*704,327106560,327.1066,20953062,20.9531,20951040,20.951,14267481,14.2675,"[48, 31, 44, 80]",4620616,4.6206,4.5347,4.5343,0.00011482,0.00906915,0.02672291,1.9209069,45.29574,44.889925,0.99421,3859225,3.8592,5.4293,5.4288,0.00214266,0.03402585,0.38130355,12.08673573,37.307713,39.870375,0.989682
042_color_r02_p058_a_red_chair,a red chair,24,121,1280*704,327106560,327.1066,20953034,20.953,20951040,20.951,6731773,6.7318,"[48, 31, 44, 80]",4760169,4.7602,4.4017,4.4013,0.00010142,0.00849255,0.02790967,0.55660444,50.675337,47.446649,0.994157,3535123,3.5351,5.9271,5.9265,0.00110467,0.02428728,0.2834928,2.32372117,44.468963,45.408276,0.993102
043_color_r03_p077_a_green_vase,a green vase,24,121,1280*704,327106560,327.1066,20953041,20.953,20951040,20.951,4750295,4.7503,"[48, 31, 44, 80]",4824473,4.8245,4.3431,4.3427,7.627e-05,0.00737104,0.02202159,0.23661347,54.390409,50.116907,0.995072,3680756,3.6808,5.6926,5.692,0.00037839,0.01434796,0.16562891,0.55246103,50.707787,49.247239,0.99471
044_spatial_relationship_r00_p010_a_bird_on_the_left_of_a_cat_front_view,"a bird on the left of a cat, front view",24,121,1280*704,327106560,327.1066,20953712,20.9537,20951040,20.951,8526562,8.5266,"[48, 31, 44, 80]",4670871,4.6709,4.486,4.4855,9.585e-05,0.00829378,0.02278213,0.96809632,48.271618,46.740691,0.995035,3476505,3.4765,6.0272,6.0265,0.00195504,0.03253933,0.38307148,6.89520311,39.745333,41.994873,0.992094
045_spatial_relationship_r01_p015_a_cow_on_the_right_of_an_elephant_front_view,"a cow on the right of an elephant, front view",24,121,1280*704,327106560,327.1066,20953754,20.9538,20951040,20.951,12016409,12.0164,"[48, 31, 44, 80]",4641475,4.6415,4.5145,4.5139,9.597e-05,0.00829931,0.02361917,0.84335333,48.870708,46.433428,0.993725,3897967,3.898,5.3756,5.3749,0.00168454,0.02986214,0.37671047,5.58406878,40.661296,42.64225,0.989991
046_spatial_relationship_r02_p048_a_train_on_the_right_of_a_boat_front_view,"a train on the right of a boat, front view",24,121,1280*704,327106560,327.1066,20953733,20.9537,20951040,20.951,12799328,12.7993,"[48, 31, 44, 80]",4482354,4.4824,4.6747,4.6741,0.0001147,0.00906668,0.02884912,1.10388076,47.701582,45.894971,0.994323,4140901,4.1409,5.0602,5.0595,0.0011412,0.02410429,0.33709908,5.48720121,40.737295,42.376247,0.991207
047_spatial_relationship_r03_p068_a_pizza_on_the_top_of_a_donut_front_view,"a pizza on the top of a donut, front view",24,121,1280*704,327106560,327.1066,20953726,20.9537,20951040,20.951,5024186,5.0242,"[48, 31, 44, 80]",4735260,4.7353,4.425,4.4245,8.913e-05,0.00800343,0.02230197,0.26826078,53.845232,49.639759,0.995493,3508746,3.5087,5.9719,5.9711,0.00111527,0.02452926,0.2860316,1.14837992,47.529948,47.929291,0.99474
048_scene_r00_p037_golf_course,golf course,24,121,1280*704,327106560,327.1066,20953034,20.953,20951040,20.951,13373887,13.3739,"[48, 31, 44, 80]",4214746,4.2147,4.9714,4.9709,0.00013661,0.00994694,0.03022307,1.24392164,47.182873,46.32349,0.990202,3668229,3.6682,5.712,5.7115,0.00131153,0.02636414,0.33395183,4.10089254,42.00202,43.590656,0.984788
049_scene_r01_p070_sky,sky,24,121,1280*704,327106560,327.1066,20952978,20.953,20951040,20.951,25009167,25.0092,"[48, 31, 44, 80]",4168068,4.1681,5.027,5.0266,0.00011016,0.00896515,0.02417016,2.16457582,44.777076,43.472519,0.990227,3849399,3.8494,5.4432,5.4427,0.00121307,0.02556152,0.33935022,12.53730774,37.148761,38.609466,0.979416
050_scene_r02_p079_train_railway,train railway,24,121,1280*704,327106560,327.1066,20953048,20.953,20951040,20.951,20093707,20.0937,"[48, 31, 44, 80]",4497421,4.4974,4.6589,4.6585,9.77e-05,0.00842009,0.02311784,1.32893515,46.895766,44.750633,0.992551,4059243,4.0592,5.1618,5.1613,0.0017786,0.03131594,0.34527302,13.08779907,36.962137,39.212853,0.984436
051_scene_r03_p080_train_station_platform,train station platform,24,121,1280*704,327106560,327.1066,20953111,20.9531,20951040,20.951,15689645,15.6896,"[48, 31, 44, 80]",4452286,4.4523,4.7061,4.7057,0.00012585,0.00948941,0.03041166,2.20449662,44.697709,44.350936,0.992412,3826194,3.8262,5.4762,5.4757,0.00143668,0.02772328,0.33423689,7.9026165,39.153095,41.062649,0.98874
052_temporal_style_r00_p024_a_shark_is_swimming_in_the_ocean_pan_right,"a shark is swimming in the ocean, pan right",24,121,1280*704,327106560,327.1066,20953634,20.9536,20951040,20.951,7870360,7.8704,"[48, 31, 44, 80]",4351994,4.352,4.8147,4.8141,0.00010881,0.00882241,0.02609277,0.13873763,56.708861,52.040083,0.995484,4101818,4.1018,5.1084,5.1077,0.00186206,0.03179273,0.39693773,0.96361375,48.291774,49.489466,0.994262
053_temporal_style_r01_p046_a_cute_happy_corgi_playing_in_park_sunset_tilt_down,"A cute happy Corgi playing in park, sunset, tilt down",24,121,1280*704,327106560,327.1066,20953761,20.9538,20951040,20.951,12813468,12.8135,"[48, 31, 44, 80]",4628130,4.6281,4.5275,4.5269,9.741e-05,0.0083668,0.02415633,0.52718669,50.911159,46.737373,0.993833,4057079,4.0571,5.1647,5.1641,0.00164647,0.02980032,0.38446787,5.22946215,40.946233,42.364817,0.990328
054_temporal_style_r02_p073_a_couple_in_formal_evening_wear_going_home_get_caught_in_a_heavy_downpour_with_u,"A couple in formal evening wear going home get caught in a heavy downpour with umbrellas, pan left",24,121,1280*704,327106560,327.1066,20954092,20.9541,20951040,20.951,9259362,9.2594,"[48, 31, 44, 80]",4629449,4.6294,4.5263,4.5256,8.889e-05,0.00800825,0.02242291,0.25088885,54.13599,49.301137,0.993917,4197975,4.198,4.9915,4.9907,0.00166148,0.02975595,0.35364652,1.85225713,45.453791,46.528651,0.992023
055_temporal_style_r03_p090_snow_rocky_mountains_peaks_canyon_snow_blanketed_rocky_mountains_surround_and_sh,"Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks, in super slow motion",24,121,1280*704,327106560,327.1066,20954220,20.9542,20951040,20.951,14214003,14.214,"[48, 31, 44, 80]",4669625,4.6696,4.4873,4.4867,6.039e-05,0.00662824,0.01866627,7.54406309,39.35475,41.297606,0.991119,3444399,3.4444,6.0836,6.0826,0.00037477,0.01423787,0.17811602,5.42593384,40.786059,42.492406,0.992355
056_appearance_style_r00_p005_a_beautiful_coastal_beach_in_spring_waves_lapping_on_sand_in_cyberpunk_style,"A beautiful coastal beach in spring, waves lapping on sand, in cyberpunk style",24,121,1280*704,327106560,327.1066,20954078,20.9541,20951040,20.951,14586478,14.5865,"[48, 31, 44, 80]",4585821,4.5858,4.5693,4.5687,6.649e-05,0.00693903,0.01875627,0.5864045,50.448831,46.759253,0.992892,4061818,4.0618,5.1588,5.158,0.00084841,0.02136487,0.23607016,3.59308076,42.576134,43.671548,0.98948
057_appearance_style_r01_p008_a_beautiful_coastal_beach_in_spring_waves_lapping_on_sand_surrealism_style,"A beautiful coastal beach in spring, waves lapping on sand, surrealism style",24,121,1280*704,327106560,327.1066,20954064,20.9541,20951040,20.951,8895725,8.8957,"[48, 31, 44, 80]",4534184,4.5342,4.6214,4.6207,6.996e-05,0.00710384,0.02165723,0.26171395,53.952535,49.083085,0.992858,4127688,4.1277,5.0765,5.0757,0.00073336,0.01980261,0.22719753,1.08328712,47.783368,47.491003,0.991427
058_appearance_style_r02_p029_a_panda_drinking_coffee_in_a_cafe_in_paris_by_hokusai_in_the_style_of_ukiyo,"A panda drinking coffee in a cafe in Paris by Hokusai, in the style of Ukiyo",24,121,1280*704,327106560,327.1066,20954071,20.9541,20951040,20.951,8506249,8.5062,"[48, 31, 44, 80]",4648243,4.6482,4.508,4.5073,0.00010825,0.0088222,0.02722999,1.80570138,45.564344,45.636565,0.993065,3194205,3.1942,6.56,6.5591,0.0014475,0.02818068,0.35730737,9.69910812,38.263486,40.697815,0.989505
059_appearance_style_r03_p084_snow_rocky_mountains_peaks_canyon_snow_blanketed_rocky_mountains_surround_and_sh,"Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks, black and white",24,121,1280*704,327106560,327.1066,20954234,20.9542,20951040,20.951,15675974,15.676,"[48, 31, 44, 80]",4700443,4.7004,4.4579,4.4572,6.322e-05,0.00676928,0.01890206,8.43135262,38.871831,40.805285,0.991383,3546961,3.547,5.9077,5.9068,0.00038175,0.01435225,0.17232466,6.76683712,39.826946,41.690592,0.992248
