name,latent_path,original_bytes,openzl_bytes,zstd_bytes,delta_vs_zstd_bytes,saved_vs_original_bytes,original_mb,openzl_mb,zstd_mb,delta_vs_zstd_mb,saved_vs_original_mb,original_mib,openzl_mib,zstd_mib,ratio_original_to_openzl,delta_vs_zstd_percent,saved_vs_original_percent,original_sha256,restored_sha256,verified_lossless
010_temporal_flickering_r02_p011_a_tranquil_tableau_of_house,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/010_temporal_flickering_r02_p011_a_tranquil_tableau_of_house.pt,20953436,19095883,19074892,20991,1857553,20.953436,19.095883,19.074892,0.020991,1.857553,19.982754,18.211253,18.191235,1.097275,0.110045,8.865147,c41e9bba09f54d35cc6a5a647b8ac49a19ebed43644463d79444708028850e60,c41e9bba09f54d35cc6a5a647b8ac49a19ebed43644463d79444708028850e60,True
011_temporal_flickering_r03_p054_a_tranquil_tableau_of_in_the_heart_of_plaka_the_neoclassical_architecture_of_the,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/011_temporal_flickering_r03_p054_a_tranquil_tableau_of_in_the_heart_of_plaka_the_neoclassical_architecture_of_the.pt,20954191,19090601,19074794,15807,1863590,20.954191,19.090601,19.074794,0.015807,1.86359,19.983474,18.206216,18.191141,1.097618,0.082869,8.893639,3fd35e67c467864da3b92fc925e075c3cbf9e6e0260f538465a99dd1a5443448,3fd35e67c467864da3b92fc925e075c3cbf9e6e0260f538465a99dd1a5443448,True
012_motion_smoothness_r00_p011_a_car_stuck_in_traffic_during_rush_hour,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/012_motion_smoothness_r00_p011_a_car_stuck_in_traffic_during_rush_hour.pt,20953634,19207137,19205602,1535,1746497,20.953634,19.207137,19.205602,0.001535,1.746497,19.982943,18.317353,18.315889,1.09093,0.007992,8.335055,b86325a232dc9f5ddcf80a6f53f5c42a1c213f7362c2d4451ea0c63ef2435fa5,b86325a232dc9f5ddcf80a6f53f5c42a1c213f7362c2d4451ea0c63ef2435fa5,True
013_motion_smoothness_r01_p027_a_train_speeding_down_the_tracks,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/013_motion_smoothness_r01_p027_a_train_speeding_down_the_tracks.pt,20953457,19239311,19229296,10015,1714146,20.953457,19.239311,19.229296,0.010015,1.714146,19.982774,18.348037,18.338486,1.089096,0.052082,8.180731,ac0fc8854408fef65a6fdcbfbc3981dc9aa8d4dcbf2120eb9949af577ad129b3,ac0fc8854408fef65a6fdcbfbc3981dc9aa8d4dcbf2120eb9949af577ad129b3,True
014_motion_smoothness_r02_p029_a_train_accelerating_to_gain_speed,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/014_motion_smoothness_r02_p029_a_train_accelerating_to_gain_speed.pt,20953471,19270374,19272225,-1851,1683097,20.953471,19.270374,19.272225,-0.001851,1.683097,19.982787,18.377661,18.379426,1.087341,-0.009604,8.032545,28d80870fbf0f2ce0c050905af0337676062fa4cc4889836c2568419dd3f446f,28d80870fbf0f2ce0c050905af0337676062fa4cc4889836c2568419dd3f446f,True
015_motion_smoothness_r03_p064_a_bear_climbing_a_tree,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/015_motion_smoothness_r03_p064_a_bear_climbing_a_tree.pt,20953195,19245059,19249323,-4264,1708136,20.953195,19.245059,19.249323,-0.004264,1.708136,19.982524,18.353518,18.357585,1.088757,-0.022151,8.152151,a44ddc599f1c607cbbb2c28615e69b62ae86f0964686451fd31105b6feaea28f,a44ddc599f1c607cbbb2c28615e69b62ae86f0964686451fd31105b6feaea28f,True
016_dynamic_degree_r00_p003_a_person_eating_a_burger,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/016_dynamic_degree_r00_p003_a_person_eating_a_burger.pt,20953188,19192351,19195698,-3347,1760837,20.953188,19.192351,19.195698,-0.003347,1.760837,19.982517,18.303252,18.306444,1.091747,-0.017436,8.403671,889363e54757cf84f4415af5780e28252ee2d6b6aef8cdb05a855729d2cca396,889363e54757cf84f4415af5780e28252ee2d6b6aef8cdb05a855729d2cca396,True
017_dynamic_degree_r01_p025_a_bus_stuck_in_traffic_during_rush_hour,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/017_dynamic_degree_r01_p025_a_bus_stuck_in_traffic_during_rush_hour.pt,20953613,19223248,19219874,3374,1730365,20.953613,19.223248,19.219874,0.003374,1.730365,19.982923,18.332718,18.3295,1.090014,0.017555,8.258075,78005e2f5165a48a33d79c7266aea4cf971241d394f22f9002fb6e40ea2cc2a0,78005e2f5165a48a33d79c7266aea4cf971241d394f22f9002fb6e40ea2cc2a0,True
018_dynamic_degree_r02_p069_a_giraffe_bending_down_to_drink_water_from_a_river,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/018_dynamic_degree_r02_p069_a_giraffe_bending_down_to_drink_water_from_a_river.pt,20953754,19182935,19163242,19693,1770819,20.953754,19.182935,19.163242,0.019693,1.770819,19.983057,18.294272,18.275492,1.092312,0.102764,8.451082,e40d6a31c95a9a9063826765f4e91a5c42de676024517ad7b5ec87f23edb345f,e40d6a31c95a9a9063826765f4e91a5c42de676024517ad7b5ec87f23edb345f,True
019_dynamic_degree_r03_p071_a_giraffe_running_to_join_a_herd_of_its_kind,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/019_dynamic_degree_r03_p071_a_giraffe_running_to_join_a_herd_of_its_kind.pt,20953712,19074254,19037801,36453,1879458,20.953712,19.074254,19.037801,0.036453,1.879458,19.983017,18.190626,18.155862,1.098534,0.191477,8.969571,2f5eea22fd094589f33d2216b3c73edc91838a195f2316de7d75c1a1242bba11,2f5eea22fd094589f33d2216b3c73edc91838a195f2316de7d75c1a1242bba11,True
020_aesthetic_quality_r00_p028_origami_dancers_in_white_paper_3d_render_on_white_background_studio_shot_dancing,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/020_aesthetic_quality_r00_p028_origami_dancers_in_white_paper_3d_render_on_white_background_studio_shot_dancing.pt,20954177,19003820,19002682,1138,1950357,20.954177,19.00382,19.002682,0.001138,1.950357,19.98346,18.123455,18.12237,1.10263,0.005989,9.307724,8f644a29a03babed454f2b649498c2adf380b50fdfe781a9150d0c0ee30e5414,8f644a29a03babed454f2b649498c2adf380b50fdfe781a9150d0c0ee30e5414,True
021_aesthetic_quality_r01_p053_a_jellyfish_floating_through_the_ocean_with_bioluminescent_tentacles,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/021_aesthetic_quality_r01_p053_a_jellyfish_floating_through_the_ocean_with_bioluminescent_tentacles.pt,20954029,18675305,18648128,27177,2278724,20.954029,18.675305,18.648128,0.027177,2.278724,19.983319,17.810159,17.784241,1.122018,0.145736,10.874873,7f59cc1eb958885326ad47a0eeacd1dc0e0e09300ea4da976a6bb8f5aefedafe,7f59cc1eb958885326ad47a0eeacd1dc0e0e09300ea4da976a6bb8f5aefedafe,True
022_aesthetic_quality_r02_p057_a_steam_train_moving_on_a_mountainside,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/022_aesthetic_quality_r02_p057_a_steam_train_moving_on_a_mountainside.pt,20953627,19231604,19220958,10646,1722023,20.953627,19.231604,19.220958,0.010646,1.722023,19.982936,18.340687,18.330534,1.089541,0.055387,8.218257,83db666e853e1492c30b4f85ce52ecd54a4d513ad2fe44f4615e4442910f3bde,83db666e853e1492c30b4f85ce52ecd54a4d513ad2fe44f4615e4442910f3bde,True
023_aesthetic_quality_r03_p075_a_happy_fuzzy_panda_playing_guitar_nearby_a_campfire_snow_mountain_in_the_backgr,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/023_aesthetic_quality_r03_p075_a_happy_fuzzy_panda_playing_guitar_nearby_a_campfire_snow_mountain_in_the_backgr.pt,20954113,19268386,19270686,-2300,1685727,20.954113,19.268386,19.270686,-0.0023,1.685727,19.983399,18.375765,18.377958,1.087487,-0.011935,8.04485,489ff6b8230cb3b64b3d968040a94342d74e9d13c5c63d5944258bd98de5bef9,489ff6b8230cb3b64b3d968040a94342d74e9d13c5c63d5944258bd98de5bef9,True
024_imaging_quality_r00_p000_close_up_of_grapes_on_a_rotating_table,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/024_imaging_quality_r00_p000_close_up_of_grapes_on_a_rotating_table.pt,20953613,19271063,19273631,-2568,1682550,20.953613,19.271063,19.273631,-0.002568,1.68255,19.982923,18.378318,18.380767,1.08731,-0.013324,8.02988,3314cb981d58bca2a46f687aaa4a127624be2acaf29b700de018aa9044f8c5aa,3314cb981d58bca2a46f687aaa4a127624be2acaf29b700de018aa9044f8c5aa,True
025_imaging_quality_r01_p020_a_shark_is_swimming_in_the_ocean,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/025_imaging_quality_r01_p020_a_shark_is_swimming_in_the_ocean.pt,20953443,18634337,18629673,4664,2319106,20.953443,18.634337,18.629673,0.004664,2.319106,19.98276,17.771089,17.766641,1.124453,0.025035,11.067899,985a3f25596dc71cfdbd0989714ba4b68e4b0edd6006e64a7dbc04b448d4099c,985a3f25596dc71cfdbd0989714ba4b68e4b0edd6006e64a7dbc04b448d4099c,True
026_imaging_quality_r02_p035_busy_freeway_at_night,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/026_imaging_quality_r02_p035_busy_freeway_at_night.pt,20953174,18959889,18933355,26534,1993285,20.953174,18.959889,18.933355,0.026534,1.993285,19.982504,18.081559,18.056254,1.105132,0.140144,9.513046,6747cc53cec3da0888c9b5158d7417147e2ed8b2481c624a0ee6d832df523bef,6747cc53cec3da0888c9b5158d7417147e2ed8b2481c624a0ee6d832df523bef,True
027_imaging_quality_r03_p089_hyper_realistic_spaceship_landing_on_mars,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/027_imaging_quality_r03_p089_hyper_realistic_spaceship_landing_on_mars.pt,20953634,19148420,19149625,-1205,1805214,20.953634,19.14842,19.149625,-0.001205,1.805214,19.982943,18.261356,18.262506,1.094275,-0.006293,8.615279,bb1d91c533aa9d27ed3b9e2926dfc75426d5fd9625ff1c818fc85badf452db18,bb1d91c533aa9d27ed3b9e2926dfc75426d5fd9625ff1c818fc85badf452db18,True
028_object_class_r00_p019_a_cow,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/028_object_class_r00_p019_a_cow.pt,20953041,19179334,19167705,11629,1773707,20.953041,19.179334,19.167705,0.011629,1.773707,19.982377,18.290838,18.279748,1.09248,0.06067,8.465153,d9a3900cacd70a16f5a15de7ec53bd324fb18ed6c19d6a20956702b20df57d51,d9a3900cacd70a16f5a15de7ec53bd324fb18ed6c19d6a20956702b20df57d51,True
029_object_class_r01_p035_a_baseball_glove,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/029_object_class_r01_p035_a_baseball_glove.pt,20953118,19239840,19239508,332,1713278,20.953118,19.23984,19.239508,0.000332,1.713278,19.98245,18.348541,18.348225,1.089048,0.001726,8.176721,6348a0f5f80201ce80228f25a0e54f1fdeb8a092cdbb06a268fd3b46460c483f,6348a0f5f80201ce80228f25a0e54f1fdeb8a092cdbb06a268fd3b46460c483f,True
030_object_class_r02_p043_a_knife,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/030_object_class_r02_p043_a_knife.pt,20953055,19227965,19229142,-1177,1725090,20.953055,19.227965,19.229142,-0.001177,1.72509,19.98239,18.337216,18.338339,1.089718,-0.006121,8.233119,c7b855d4575cb3304d20db95ee39ee65d95121ebb6bf49064ee21b0894507579,c7b855d4575cb3304d20db95ee39ee65d95121ebb6bf49064ee21b0894507579,True
031_object_class_r03_p054_a_donut,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/031_object_class_r03_p054_a_donut.pt,20953055,19192086,19186297,5789,1760969,20.953055,19.192086,19.186297,0.005789,1.760969,19.98239,18.302999,18.297479,1.091755,0.030173,8.404354,b85983d27dc9ba4ce7ceefa6009856722f1ddc9deb48682d97080a052112eb6c,b85983d27dc9ba4ce7ceefa6009856722f1ddc9deb48682d97080a052112eb6c,True
032_multiple_objects_r00_p011_a_couch_and_a_potted_plant,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/032_multiple_objects_r00_p011_a_couch_and_a_potted_plant.pt,20953344,19229126,19229808,-682,1724218,20.953344,19.229126,19.229808,-0.000682,1.724218,19.982666,18.338324,18.338974,1.089667,-0.003547,8.228844,549f0fe168ee25cd46a2bdea1f20a163d8fc48bd5f8fb2381bab36102a4b36de,549f0fe168ee25cd46a2bdea1f20a163d8fc48bd5f8fb2381bab36102a4b36de,True
033_multiple_objects_r01_p013_a_tv_and_a_laptop,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/033_multiple_objects_r01_p013_a_tv_and_a_laptop.pt,20953153,19219888,19221691,-1803,1733265,20.953153,19.219888,19.221691,-0.001803,1.733265,19.982484,18.329514,18.331233,1.090181,-0.00938,8.272096,81e4db862a8738a938c64287785d4aa3d100b609ea78ca05042b57b156b9cb1a,81e4db862a8738a938c64287785d4aa3d100b609ea78ca05042b57b156b9cb1a,True
034_multiple_objects_r02_p027_a_teddy_bear_and_a_frisbee,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/034_multiple_objects_r02_p027_a_teddy_bear_and_a_frisbee.pt,20953344,19212046,19207647,4399,1741298,20.953344,19.212046,19.207647,0.004399,1.741298,19.982666,18.322035,18.31784,1.090636,0.022902,8.310358,f86b6138756626ad0402376670ae9c54ca71b255915c6c1cd775da53e0a7eb70,f86b6138756626ad0402376670ae9c54ca71b255915c6c1cd775da53e0a7eb70,True
035_multiple_objects_r03_p043_a_car_and_a_motorcycle,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/035_multiple_objects_r03_p043_a_car_and_a_motorcycle.pt,20953188,19243629,19241339,2290,1709559,20.953188,19.243629,19.241339,0.00229,1.709559,19.982517,18.352155,18.349971,1.088838,0.011901,8.158945,4e64e3061f5c9aa471bc3663f55b26f0887276742356556fc9deda2f22f8c0b7,4e64e3061f5c9aa471bc3663f55b26f0887276742356556fc9deda2f22f8c0b7,True
036_human_action_r00_p012_a_person_is_skateboarding,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/036_human_action_r00_p012_a_person_is_skateboarding.pt,20953181,19242333,19237382,4951,1710848,20.953181,19.242333,19.237382,0.004951,1.710848,19.982511,18.350919,18.346197,1.088911,0.025736,8.165099,b09b3f176e7feb4c7c523b107f5e4cf824e2283cbcad0c796689c55e0ec8a2ce,b09b3f176e7feb4c7c523b107f5e4cf824e2283cbcad0c796689c55e0ec8a2ce,True
037_human_action_r01_p044_a_person_is_planting_trees,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/037_human_action_r01_p044_a_person_is_planting_trees.pt,20953188,19234520,19236221,-1701,1718668,20.953188,19.23452,19.236221,-0.001701,1.718668,19.982517,18.343468,18.34509,1.089353,-0.008843,8.202418,81f779395f839f85deb4a4c6b41cb29f9191a64d9acbe995f5c596685d3ee381,81f779395f839f85deb4a4c6b41cb29f9191a64d9acbe995f5c596685d3ee381,True
038_human_action_r02_p045_a_person_is_sharpening_knives,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/038_human_action_r02_p045_a_person_is_sharpening_knives.pt,20953337,19308400,19314131,-5731,1644937,20.953337,19.3084,19.314131,-0.005731,1.644937,19.982659,18.413925,18.419391,1.085193,-0.029673,7.850477,985768a66e8b5e8da408cec4236fefc64ef5971973446851e6b87c9c6a2d3605,985768a66e8b5e8da408cec4236fefc64ef5971973446851e6b87c9c6a2d3605,True
039_human_action_r03_p048_a_person_is_hula_hooping,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/039_human_action_r03_p048_a_person_is_hula_hooping.pt,20953174,19231328,19223637,7691,1721846,20.953174,19.231328,19.223637,0.007691,1.721846,19.982504,18.340424,18.333089,1.089533,0.040008,8.21759,92de88d3c21f25b6861aaa942c178ea68bed19c2a7278966443a1bd394f52e46,92de88d3c21f25b6861aaa942c178ea68bed19c2a7278966443a1bd394f52e46,True
040_color_r00_p005_a_purple_bicycle,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/040_color_r00_p005_a_purple_bicycle.pt,20953069,19242142,19240626,1516,1710927,20.953069,19.242142,19.240626,0.001516,1.710927,19.982404,18.350737,18.349291,1.088916,0.007879,8.16552,9de77bf97ee148ade33f11f44a4fb996a3f6de9318e8baa1b4de64c33d105fa1,9de77bf97ee148ade33f11f44a4fb996a3f6de9318e8baa1b4de64c33d105fa1,True
041_color_r01_p033_a_blue_umbrella,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/041_color_r01_p033_a_blue_umbrella.pt,20953062,19157590,19139307,18283,1795472,20.953062,19.15759,19.139307,0.018283,1.795472,19.982397,18.270102,18.252666,1.093721,0.095526,8.56902,e6423b290e56e19bba811aab512b4de03622bd986a1cf8678098f05770a63882,e6423b290e56e19bba811aab512b4de03622bd986a1cf8678098f05770a63882,True
042_color_r02_p058_a_red_chair,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/042_color_r02_p058_a_red_chair.pt,20953034,19246897,19248359,-1462,1706137,20.953034,19.246897,19.248359,-0.001462,1.706137,19.98237,18.355271,18.356666,1.088645,-0.007595,8.142673,a8c907f5359282a3d85d51ab8d9214151fda4d5865f1548e457353c2c5abe9f7,a8c907f5359282a3d85d51ab8d9214151fda4d5865f1548e457353c2c5abe9f7,True
043_color_r03_p077_a_green_vase,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/043_color_r03_p077_a_green_vase.pt,20953041,19147303,19143487,3816,1805738,20.953041,19.147303,19.143487,0.003816,1.805738,19.982377,18.260291,18.256652,1.094308,0.019934,8.618024,085f128442a0f5331d7c257a6367962c6807372b358e68ea555aa1fd2e5b3cfb,085f128442a0f5331d7c257a6367962c6807372b358e68ea555aa1fd2e5b3cfb,True
044_spatial_relationship_r00_p010_a_bird_on_the_left_of_a_cat_front_view,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/044_spatial_relationship_r00_p010_a_bird_on_the_left_of_a_cat_front_view.pt,20953712,19231261,19229812,1449,1722451,20.953712,19.231261,19.229812,0.001449,1.722451,19.983017,18.34036,18.338978,1.089565,0.007535,8.220267,2ed896efdfd6f43e8a9b4d2808dfe883e16dc1df94601aa54c231d7300d1e22c,2ed896efdfd6f43e8a9b4d2808dfe883e16dc1df94601aa54c231d7300d1e22c,True
045_spatial_relationship_r01_p015_a_cow_on_the_right_of_an_elephant_front_view,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/045_spatial_relationship_r01_p015_a_cow_on_the_right_of_an_elephant_front_view.pt,20953754,19206861,19207504,-643,1746893,20.953754,19.206861,19.207504,-0.000643,1.746893,19.983057,18.31709,18.317703,1.090952,-0.003348,8.336898,cbfadfc03dae4d4348493276c052d05f979c1bf4f9e89eaa24c028ae0d0b0796,cbfadfc03dae4d4348493276c052d05f979c1bf4f9e89eaa24c028ae0d0b0796,True
046_spatial_relationship_r02_p048_a_train_on_the_right_of_a_boat_front_view,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/046_spatial_relationship_r02_p048_a_train_on_the_right_of_a_boat_front_view.pt,20953733,19214237,19203575,10662,1739496,20.953733,19.214237,19.203575,0.010662,1.739496,19.983037,18.324124,18.313956,1.090532,0.055521,8.301604,fc57929e8ef03d6f466a818213fe3d8adc434a82a09440cda001361b88039c4b,fc57929e8ef03d6f466a818213fe3d8adc434a82a09440cda001361b88039c4b,True
047_spatial_relationship_r03_p068_a_pizza_on_the_top_of_a_donut_front_view,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/047_spatial_relationship_r03_p068_a_pizza_on_the_top_of_a_donut_front_view.pt,20953726,19154281,19157555,-3274,1799445,20.953726,19.154281,19.157555,-0.003274,1.799445,19.98303,18.266946,18.270068,1.093945,-0.01709,8.587709,c7df662616d1e9564ddb3def62c9d382a75d32c182a0e3b4fbee9e4da6fc5a3d,c7df662616d1e9564ddb3def62c9d382a75d32c182a0e3b4fbee9e4da6fc5a3d,True
048_scene_r00_p037_golf_course,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/048_scene_r00_p037_golf_course.pt,20953034,19080097,19049102,30995,1872937,20.953034,19.080097,19.049102,0.030995,1.872937,19.98237,18.196198,18.166639,1.098162,0.162711,8.938739,b2d2b6b9d9680f9ae7e3858d13467b50bbfcbd0ec524ae53f95c734468d32fb3,b2d2b6b9d9680f9ae7e3858d13467b50bbfcbd0ec524ae53f95c734468d32fb3,True
049_scene_r01_p070_sky,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/049_scene_r01_p070_sky.pt,20952978,18983457,18947163,36294,1969521,20.952978,18.983457,18.947163,0.036294,1.969521,19.982317,18.104035,18.069423,1.103749,0.191554,9.399719,26c4e5557be9fb4a6325e2a037a85f1e04e07c2556ec1a6b14295680088fccd3,26c4e5557be9fb4a6325e2a037a85f1e04e07c2556ec1a6b14295680088fccd3,True
050_scene_r02_p079_train_railway,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/050_scene_r02_p079_train_railway.pt,20953048,19190907,19175790,15117,1762141,20.953048,19.190907,19.17579,0.015117,1.762141,19.982384,18.301875,18.287458,1.091822,0.078834,8.409951,6da9a14690519b0ecac7d99adb5d2d33111d1d95715f3a554a85425298abd9f2,6da9a14690519b0ecac7d99adb5d2d33111d1d95715f3a554a85425298abd9f2,True
051_scene_r03_p080_train_station_platform,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/051_scene_r03_p080_train_station_platform.pt,20953111,19167587,19156069,11518,1785524,20.953111,19.167587,19.156069,0.011518,1.785524,19.982444,18.279635,18.268651,1.093153,0.060127,8.521522,81a277d6629f18bc961481c2e4144000e9545cfbe1ca86c49678981aae563c05,81a277d6629f18bc961481c2e4144000e9545cfbe1ca86c49678981aae563c05,True
