name,zstd_mb,openzl_mb,pcodec_mb,best_codec
045_spatial_relationship_r01_p015_a_cow_on_the_right_of_an_elephant_front_view,19.207504,19.206861,17.205875,pcodec
046_spatial_relationship_r02_p048_a_train_on_the_right_of_a_boat_front_view,19.203575,19.214237,16.91779,pcodec
047_spatial_relationship_r03_p068_a_pizza_on_the_top_of_a_donut_front_view,19.157555,19.154281,17.183839,pcodec
048_scene_r00_p037_golf_course,19.049102,19.080097,16.568119,pcodec
049_scene_r01_p070_sky,18.947163,18.983457,16.377131,pcodec
050_scene_r02_p079_train_railway,19.17579,19.190907,16.913895,pcodec
051_scene_r03_p080_train_station_platform,19.156069,19.167587,16.94811,pcodec
052_temporal_style_r00_p024_a_shark_is_swimming_in_the_ocean_pan_right,18.67452,18.717815,16.435321,pcodec
053_temporal_style_r01_p046_a_cute_happy_corgi_playing_in_park_sunset_tilt_down,19.165886,19.185851,16.990895,pcodec
054_temporal_style_r02_p073_a_couple_in_formal_evening_wear_going_home_get_caught_in_a_heavy_downpour_with_u,19.139664,19.143834,17.280264,pcodec
055_temporal_style_r03_p090_snow_rocky_mountains_peaks_canyon_snow_blanketed_rocky_mountains_surround_and_sh,19.086813,19.097279,16.977897,pcodec
056_appearance_style_r00_p005_a_beautiful_coastal_beach_in_spring_waves_lapping_on_sand_in_cyberpunk_style,19.075789,19.089971,16.818661,pcodec
057_appearance_style_r01_p008_a_beautiful_coastal_beach_in_spring_waves_lapping_on_sand_surrealism_style,18.965461,18.985347,16.615434,pcodec
058_appearance_style_r02_p029_a_panda_drinking_coffee_in_a_cafe_in_paris_by_hokusai_in_the_style_of_ukiyo,19.208306,19.211916,17.093049,pcodec
059_appearance_style_r03_p084_snow_rocky_mountains_peaks_canyon_snow_blanketed_rocky_mountains_surround_and_sh,19.091608,19.091858,17.01584,pcodec
060_overall_consistency_r00_p010_fireworks,19.052537,19.063622,17.135031,pcodec
061_overall_consistency_r01_p012_flying_through_fantasy_landscapes,19.179482,19.195843,16.872999,pcodec
062_overall_consistency_r02_p029_campfire_at_night_in_a_snowy_forest_with_starry_sky_in_the_background,19.066068,19.06524,16.969327,pcodec
063_overall_consistency_r03_p037_an_astronaut_is_riding_a_horse_in_the_space_in_a_photorealistic_style,18.975043,18.981833,16.955933,pcodec
